Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),23,Terceros con asistencia en viaje,170€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),23,Terceros ampliado,289€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),23,Todo riesgo con franquicia,454€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,118€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,135€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,225€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,305€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros sin asistencia en viaje,192€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros con asistencia en viaje,209€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros ampliado,364€
